message_id,created_at,server_id,channel_id,author_id,label,confidence,text
m1758885706,2025-09-26T11:21:46.000Z,944157981791113287,general,u1,AG,1,賛成！来週9/30 13:00にやろう https://example.com
m1758886382,2025-09-26T11:33:02.000Z,944157981791113287,general,u1,AG,1,賛成！来週9/30 13:00にやろう https://example.com
m1758892446,2025-09-26T13:14:06.000Z,944157981791113287,general,u1,AG,1,賛成！来週9/30 13:00にやろう https://example.com
m1758893807,2025-09-26T13:36:47.000Z,944157981791113287,general,u2,Q,1,なぜこの案が良い？具体例ある？
m1758894157,2025-09-26T13:42:37.000Z,944157981791113287,general,u3,S,1,この案に反対。理由はコストが高いから。
m1758894352,2025-09-26T13:45:52.000Z,944157981791113287,general,u4,S,1,資料はこちら→ https://example.com/plan.pdf
m1758895191,2025-09-26T13:59:51.000Z,944157981791113287,general,u9,CH,1,リンク共有します→ https://example.com
m1758895555,2025-09-26T14:05:55.000Z,944157981791113287,general,u9,CH,1,リンク共有します→ https://example.com
m1758895858,2025-09-26T14:10:58.000Z,944157981791113287,general,u9,CH,1,リンク共有します→ https://example.com
m1758896979,2025-09-26T14:29:39.000Z,944157981791113287,general,u9,S,1,資料アップしました https://example.com/plan.pdf
b001,2025-09-26T16:47:10.530Z,testserver,testset,u_test,,,以下を正しくできるか谷崎鷹人(谷やん)(5-7)
b002,2025-09-26T16:47:10.531Z,testserver,testset,u_test,,,たぶんなむさんと同じ顔
b003,2025-09-26T16:47:10.532Z,testserver,testset,u_test,,,こんなイケメンやったらもう少しモテたはず！！
b004,2025-09-26T16:47:10.533Z,testserver,testset,u_test,,,でも顔の骨格とか似てるかも
b005,2025-09-26T16:47:10.534Z,testserver,testset,u_test,,,たぬかな(8-6-1)
b006,2025-09-26T16:47:10.535Z,testserver,testset,u_test,,,たぶんpowaさんと同じ顔
b007,2025-09-26T16:47:10.536Z,testserver,testset,u_test,,,たぬかな可愛すぎるしこんなギャルではない笑
b008,2025-09-26T16:47:10.537Z,testserver,testset,u_test,,,二人とも同じ謙遜しとる
b009,2025-09-26T16:47:10.538Z,testserver,testset,u_test,,,8種の女の笑い方って全力っていうか歯出して目めっちゃ空いてるか閉じてるかのイメージある(普段わりとムスッとしてるのに)
b010,2025-09-26T16:47:10.539Z,testserver,testset,u_test,,,ニチャァを隠そうとするとそうなるのかな 弱者の話聞く時は仏スマイルに擬態するみたいに
b011,2025-09-26T16:47:10.540Z,testserver,testset,u_test,,,しぐらさんなんなんだろうね笑 ンゴちゃんのイメージずっとあるんだけど笑(1-7？)天啓降りてきたらまた言う
b012,2025-09-26T16:47:10.541Z,testserver,testset,u_test,,,( ´ー`)。о（書いてあるけどまあええか)
b013,2025-09-26T16:47:10.542Z,testserver,testset,u_test,,,似てるキャラ！！！ちゃんとしぐらさんの体癖は把握してるから！！😭
b014,2025-09-26T16:47:10.543Z,testserver,testset,u_test,,,ひろゆきと渋谷ハルが1-6だけど3つ目もとなると難しいねえ
b015,2025-09-26T16:47:10.544Z,testserver,testset,u_test,,,確かに1610の組合せて自分も見たことないかも 探してみるか
b016,2025-09-26T16:47:10.545Z,testserver,testset,u_test,,,探してたら全然関係ないものだけど 1978年のものらしい https://www.jstage.jst.go.jp/article/jspeconf/29/0/29_316/_article/-char/ja/
b017,2025-09-26T16:47:10.546Z,testserver,testset,u_test,,,ほ〜…結構偏りある🤔
b018,2025-09-26T16:47:10.547Z,testserver,testset,u_test,,,上下前後（特に15）は男性多いイメージ、左右開閉は女性多そう。1610が見つからない。組み合わさりやすいのとにくいのがあるかも
b019,2025-09-26T16:47:10.548Z,testserver,testset,u_test,,,1-6-10って結構壮大になりそうな感じもあるよね キング牧師とか？
b020,2025-09-26T16:47:10.549Z,testserver,testset,u_test,,,10のわかりやすい特徴って面倒見るものがあると元気出るくらいしかないよな 論文だされてるんだね
b021,2025-09-26T16:47:10.550Z,testserver,testset,u_test,,,キングって名前も顔も１０っぽいなｗ
b022,2025-09-26T16:47:10.551Z,testserver,testset,u_test,,,まあ性格との関連とか言い出さなければまともなデータだものね
b023,2025-09-26T16:47:10.552Z,testserver,testset,u_test,,,キング牧師7が少し入ってて前後が全くないかな
b024,2025-09-26T16:47:10.553Z,testserver,testset,u_test,,,もの食べる時大体gptに栄養素とカロリーのコスパ聞く笑
b025,2025-09-26T16:47:10.554Z,testserver,testset,u_test,,,見事に量と栄養価だわ笑
b026,2025-09-26T16:47:10.555Z,testserver,testset,u_test,,,なむさんやっぱ7-5種感あるね〜😎
b027,2025-09-26T16:47:10.556Z,testserver,testset,u_test,,,powa の投票「食事で気になるのは？」が終了しました。栄養価が45%で勝利
b028,2025-09-26T16:47:10.557Z,testserver,testset,u_test,,,体癖診断モデル募集のお知らせ。日時9/20 場所赤羽。興味がある人はDMか質問ください（金銭は発生しません）
b029,2025-09-26T16:47:10.558Z,testserver,testset,u_test,,,世界陸上見てたら結構斜め走りしてる人多くてびっくりした 特にマクロフリンねじれつよい https://youtu.be/AbUgBCuAuR0
b030,2025-09-26T16:47:10.559Z,testserver,testset,u_test,,,競歩1種 棒高跳び5、6 走高跳2、4 投てき8、10 中長距離9、1、2 短距離5、7、3ってイメージ
b031,2025-09-26T16:47:10.560Z,testserver,testset,u_test,,,はえぇよく見てる
b032,2025-09-26T16:47:10.561Z,testserver,testset,u_test,,,斜めに走ってるのに早いのやばい
b033,2025-09-26T16:47:10.562Z,testserver,testset,u_test,,,競歩1なの同感やw 斜めの方がはやいんやろな知らんけど
b034,2025-09-26T16:47:10.563Z,testserver,testset,u_test,,,よくあのクネクネで長時間競技出来るよねw
b035,2025-09-26T16:47:10.564Z,testserver,testset,u_test,,,それなw1種なら簡単やなw
